marka,raw_ilan_sayisi,train_ilan_sayisi,kayip_ilan_sayisi,retention_pct,benzersiz_model_sayisi,benzersiz_yil_sayisi,min_yil,max_yil,min_fiyat,median_fiyat,mean_fiyat,max_fiyat,fiyat_araligi,p10_fiyat,p90_fiyat,min_km,median_km,max_km,arabam_ilan_sayisi,kaggle_legacy_ilan_sayisi,current_scrape_ratio,synthetic_currently_used,current_synthetic_count,brand_support_level,models_with_n_le_2,models_with_n_3_5,models_with_n_6_10,models_with_n_11_20,models_with_n_gt_20,weak_model_count,weak_model_ratio,synthetic_priority,preliminary_synthetic_candidate,synthetic_reason
Renault,34896,34537,359,99.0,43,53,1974.0,2026.0,37500.0,620000.0,700970.8357992878,1975000.0,1937500.0,225000.0,1320000.0,0.0,200000.0,1000000.0,31686,2851,91.7,False,0,VERY_STRONG,2,2,3,3,33,7,16.3,NONE,False,Yeterli gercek kayit; marka duzeyinde sentetik destege ihtiyac yok.
Fiat,34019,33657,362,98.9,34,41,1978.0,2026.0,45000.0,570000.0,604355.4893781383,1485000.0,1440000.0,220000.0,1025000.0,0.0,185000.0,1000000.0,30914,2743,91.9,False,0,VERY_STRONG,4,0,2,3,25,6,17.6,NONE,False,Yeterli gercek kayit; marka duzeyinde sentetik destege ihtiyac yok.
Volkswagen,30990,30675,315,99.0,36,47,1974.0,2026.0,39000.0,995000.0,1073475.9362673187,2995000.0,2956000.0,410000.0,1825000.0,0.0,192000.0,999999.0,27905,2770,91.0,False,0,VERY_STRONG,2,3,2,4,25,7,19.4,NONE,False,Yeterli gercek kayit; marka duzeyinde sentetik destege ihtiyac yok.
Ford,25382,25121,261,99.0,37,49,1970.0,2026.0,12345.0,708000.0,770731.2164722742,2340000.0,2327655.0,328000.0,1299999.0,0.0,195000.0,1000000.0,22495,2626,89.5,False,0,VERY_STRONG,5,2,4,4,22,11,29.7,NONE,False,Yeterli gercek kayit; marka duzeyinde sentetik destege ihtiyac yok.
Opel,22039,21817,222,99.0,35,50,1972.0,2026.0,45000.0,627500.0,707954.4300316267,1850000.0,1805000.0,275000.0,1295000.0,0.0,195000.0,930000.0,19128,2689,87.7,False,0,VERY_STRONG,4,1,2,4,24,7,20.0,NONE,False,Yeterli gercek kayit; marka duzeyinde sentetik destege ihtiyac yok.
Peugeot,16580,16409,171,99.0,38,39,1988.0,2026.0,53000.0,600000.0,831336.1607654336,2370000.0,2317000.0,275000.0,1775000.0,0.0,187400.0,800000.0,13833,2576,84.3,False,0,VERY_STRONG,4,3,2,0,29,9,23.7,NONE,False,Yeterli gercek kayit; marka duzeyinde sentetik destege ihtiyac yok.
Hyundai,15830,15661,169,98.9,36,36,1991.0,2026.0,22000.0,675000.0,800098.580486559,2475000.0,2453000.0,279000.0,1480000.0,0.0,181000.0,999999.0,13028,2633,83.2,False,0,VERY_STRONG,3,3,2,3,25,7,19.4,NONE,False,Yeterli gercek kayit; marka duzeyinde sentetik destege ihtiyac yok.
Toyota,12609,12480,129,99.0,27,42,1985.0,2026.0,80000.0,895000.0,963534.1544070513,2595000.0,2515000.0,350000.0,1625000.0,0.0,169000.0,890000.0,9868,2612,79.1,False,0,VERY_STRONG,5,2,2,5,13,8,29.6,NONE,False,Yeterli gercek kayit; marka duzeyinde sentetik destege ihtiyac yok.
BMW,12276,12153,123,99.0,20,48,1977.0,2026.0,59876.0,1495000.0,1822022.2867604706,7250000.0,7190124.0,635400.0000000001,3600000.0,4.0,187000.0,766000.0,9576,2577,78.8,False,0,VERY_STRONG,0,0,1,2,17,1,5.0,NONE,False,Yeterli gercek kayit; marka duzeyinde sentetik destege ihtiyac yok.
Mercedes - Benz,11926,11803,123,99.0,51,54,1972.0,2026.0,99000.0,1720000.0,2125353.685418961,14900000.0,14801000.0,550000.0,4025000.0,0.0,185000.0,998000.0,9234,2569,78.2,True,11,VERY_STRONG,4,2,6,9,30,10,19.6,NONE,False,Yeterli gercek kayit; marka duzeyinde sentetik destege ihtiyac yok.
