marka,model,raw_real_count,train_real_count,unique_year_count,min_year,max_year,min_km,median_km,max_km,min_price,median_price,max_price,price_cv,price_age_corr,current_hp_support,current_hp_source,current_hp_method,source_distribution,arabam_count,kaggle_count,in_ui_catalog,synthetic_candidate,priority,recommended_synthetic_count,reason,synthetic_safe,safety_reason,interpolation_year_range,interpolation_km_range,interpolation_price_range
Alfa Romeo,Giulia Quadrifoglio,1,0,1,2023.0,2023.0,14800.0,14800.0,14800.0,14900000.0,14900000.0,14900000.0,0.0,,717,brand,fallback_brand,arabam=1,1,0,True,True,CRITICAL,3,"0 gercek egitim kaydi (ham: 1). premium fiyat segmenti (medyan 14,900,000 >= p90 esigi 3,375,000); hierarchical_price brand katmanina duesuyor (kendi brand_model verisi yok/yetersiz); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir).",False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 6 idi)",2023-2023,"14,800-14,800","14,900,000-14,900,000"
Alfa Romeo,Stelvio,2,0,1,2022.0,2022.0,44500.0,49000.0,53500.0,3000000.0,3750000.0,4500000.0,0.2,,717,brand,fallback_brand,arabam=2,2,0,True,True,CRITICAL,3,"0 gercek egitim kaydi (ham: 2). premium fiyat segmenti (medyan 3,750,000 >= p90 esigi 3,375,000); hierarchical_price brand katmanina duesuyor (kendi brand_model verisi yok/yetersiz); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir).",False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 6 idi)",2022-2022,"44,500-53,500","3,000,000-4,500,000"
Audi,RS Q8,4,0,3,2021.0,2024.0,0.0,27000.0,83000.0,13900000.0,19962373.5,21750000.0,0.1585,-0.9791,8575,brand,fallback_brand,arabam=4,4,0,True,True,CRITICAL,3,"0 gercek egitim kaydi (ham: 4). premium fiyat segmenti (medyan 19,962,374 >= p90 esigi 3,375,000); hierarchical_price brand katmanina duesuyor (kendi brand_model verisi yok/yetersiz); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir).",False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 6 idi)",2021-2024,"0-83,000","13,900,000-21,750,000"
BMW,8 Serisi,3,0,2,1995.0,2020.0,57508.0,95000.0,184000.0,8000000.0,11501461.0,12900000.0,0.1908,-0.9732,12153,brand,fallback_brand,"arabam=2, kaggle=1",2,1,True,True,CRITICAL,3,"0 gercek egitim kaydi (ham: 3). premium fiyat segmenti (medyan 11,501,461 >= p90 esigi 3,375,000); hierarchical_price brand katmanina duesuyor (kendi brand_model verisi yok/yetersiz); model yili cesitliligi cok dusuk (2 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir).",False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 6 idi)",1995-2020,"57,508-184,000","8,000,000-12,900,000"
BMW,X7,2,0,1,2023.0,2023.0,30620.0,49810.0,69000.0,14250000.0,19375000.0,24500000.0,0.2645,,12153,brand,fallback_brand,arabam=2,2,0,True,True,CRITICAL,3,"0 gercek egitim kaydi (ham: 2). premium fiyat segmenti (medyan 19,375,000 >= p90 esigi 3,375,000); hierarchical_price brand katmanina duesuyor (kendi brand_model verisi yok/yetersiz); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir).",False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 6 idi)",2023-2023,"30,620-69,000","14,250,000-24,500,000"
BYD,Tang,3,0,1,2025.0,2025.0,0.0,9800.0,22000.0,4149900.0,4800000.0,4800000.0,0.0669,,457,brand,fallback_brand,arabam=3,3,0,True,True,CRITICAL,3,"0 gercek egitim kaydi (ham: 3). premium fiyat segmenti (medyan 4,800,000 >= p90 esigi 3,375,000); hierarchical_price brand katmanina duesuyor (kendi brand_model verisi yok/yetersiz); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir).",False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 6 idi)",2025-2025,"0-22,000","4,149,900-4,800,000"
Buick,Le Sabre,1,0,1,1997.0,1997.0,65000.0,65000.0,65000.0,1225000.0,1225000.0,1225000.0,0.0,,3,brand,fallback_brand,arabam=1,1,0,True,True,CRITICAL,1,"0 gercek egitim kaydi (ham: 1). hierarchical_price destegi dusuk (n=3); hierarchical_price brand katmanina duesuyor (kendi brand_model verisi yok/yetersiz); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir). azaltici: cok eski model (max_year=1997), piyasada nadir - dusuk oncelik.",False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 2 idi)",1997-1997,"65,000-65,000","1,225,000-1,225,000"
Daewoo,Chairman,2,0,2,1998.0,1999.0,175000.0,262500.0,350000.0,750000.0,1300000.0,1850000.0,0.4231,,147,brand,fallback_brand,"arabam=1, kaggle=1",1,1,True,True,CRITICAL,1,"0 gercek egitim kaydi (ham: 2). hierarchical_price brand katmanina duesuyor (kendi brand_model verisi yok/yetersiz); model yili cesitliligi cok dusuk (2 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir). azaltici: cok eski model (max_year=1999), piyasada nadir - dusuk oncelik.",False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 2 idi)",1998-1999,"175,000-350,000","750,000-1,850,000"
Ferrari,SF90,1,0,1,2023.0,2023.0,0.0,0.0,0.0,78000000.0,78000000.0,78000000.0,0.0,,29,brand,fallback_brand,kaggle=1,0,1,True,True,CRITICAL,3,"0 gercek egitim kaydi (ham: 1). premium fiyat segmenti (medyan 78,000,000 >= p90 esigi 3,375,000); hierarchical_price brand katmanina duesuyor (kendi brand_model verisi yok/yetersiz); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir).",False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 6 idi)",2023-2023,0-0,"78,000,000-78,000,000"
Fiat,124 Spider,1,0,1,2017.0,2017.0,97000.0,97000.0,97000.0,1858124.0,1858124.0,1858124.0,0.0,,33657,brand,fallback_brand,arabam=1,1,0,True,True,CRITICAL,3,0 gercek egitim kaydi (ham: 1). hierarchical_price brand katmanina duesuyor (kendi brand_model verisi yok/yetersiz); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir).,False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 6 idi)",2017-2017,"97,000-97,000","1,858,124-1,858,124"
