marka,model,train_real_count,raw_real_count,hp_support,hp_source,unique_year_count,year_range,km_range,min_price,median_price,max_price,arabam_count,kaggle_count,current_scrape_ratio,current_prediction_probe_error_pct,synthetic_safe,generation_consistency,engine_consistency,body_type_consistency,recommended_synthetic_count,candidate_priority,reason
Maserati,MC20,0,1,108,brand,1,2021-2021,"6,100-6,100",22900000.0,22900000.0,22900000.0,0,1,0.0,,False,"OK (dusuk varyans, cv=0.00)",N/A (tek/az veri),OK ([]),0,REJECT,train_n=0; yetersiz demir (n<=2); premium segment
Maserati,4 Serisi,1,1,1,brand_model,1,1994-1994,"75,000-75,000",1399750.0,1399750.0,1399750.0,0,1,0.0,38.5,False,"OK (dusuk varyans, cv=0.00)",N/A (tek/az veri),OK (['Sedan']),0,REJECT,train_n=1; yetersiz demir (n<=2); probe hata %38.5
Maserati,GranCabrio,2,2,2,brand_model,1,2013-2013,"85,000-85,000",5490000.0,6190000.0,6890000.0,1,1,50.0,21.1,False,"OK (dusuk varyans, cv=0.11)",OK (cv=0.01),"COKLU-VARYANT (['Cabrio', 'Belirtilmemiş'])",0,REJECT,train_n=2; yetersiz demir (n<=2); probe hata %21.1; premium segment
Maserati,GranTurismo,13,13,13,brand_model,6,2007-2013,"46,143-124,559",3000000.0,5250000.0,7000000.0,7,6,53.8,16.2,True,"OK (yasla aciklanan, corr=-0.49)",OK (cv=0.05),"COKLU-VARYANT (['Coupe', 'Cabrio'])",3,MEDIUM,train_n=13; probe hata %16.2; premium segment
Maserati,Grecale,16,16,16,brand_model,3,2022-2024,"7,748-75,465",4900000.0,6620000.0,7700000.0,16,0,100.0,5.2,True,"OK (yasla aciklanan, corr=-0.39)",OK (cv=0.09),OK (['SUV']),3,LOW,train_n=16; probe hata %5.2; premium segment
Maserati,Levante,20,21,20,brand_model,8,2016-2024,"6,100-230,000",3395000.0,5600000.0,7950000.0,21,0,105.0,6.0,True,"OK (yasla aciklanan, corr=-0.91)",INCELE (cv=0.21),OK (['SUV']),3,LOW,train_n=20; probe hata %6.0; premium segment
Maserati,Quattroporte,20,20,20,brand_model,6,2006-2015,"64,301-268,000",2375000.0,4920000.0,7599000.0,11,9,55.0,4.1,True,"OK (yasla aciklanan, corr=-0.70)",INCELE (cv=0.18),OK (['Sedan']),3,LOW,train_n=20; probe hata %4.1; premium segment
Maserati,Ghibli,36,36,36,brand_model,9,2013-2023,"11,273-295,000",2525000.0,4200000.0,7395000.0,20,16,55.6,10.4,True,"OK (yasla aciklanan, corr=-0.78)",OK (cv=0.15),"COKLU-VARYANT (['Sedan', 'Coupe'])",0,NO_NEED,train_n=36; zaten yeterli (n>20); probe hata %10.4; premium segment
Porsche,Boxster,8,8,8,brand_model,7,1997-2014,"68,000-235,000",1300000.0,2074450.0,5650000.0,3,5,37.5,20.7,True,"OK (yasla aciklanan, corr=-0.90)",OK (cv=0.07),OK (['Roadster']),5,HIGH,train_n=8; probe hata %20.7
Porsche,Cayman,15,15,15,brand_model,6,2007-2015,"38,000-165,000",2695000.0,3890000.0,4750000.0,7,8,46.7,10.0,True,"OK (yasla aciklanan, corr=-0.63)",OK (cv=0.09),OK (['Coupe']),3,LOW,train_n=15; probe hata %10.0; premium segment
Porsche,718,17,17,17,brand_model,7,2016-2024,"0-74,026",4190000.0,7900000.0,27000000.0,6,11,35.3,7.0,False,"OK (yasla aciklanan, corr=-0.71)",HETEROJEN (cv=0.36),"HETEROJEN (['Coupe', 'Roadster', 'Cabrio'])",0,REJECT,train_n=17; motor heterojen: HETEROJEN (cv=0.36); probe hata %7.0; premium segment
Porsche,Taycan,51,51,51,brand_model,5,2020-2024,"0-85,000",5000000.0,6965000.0,17750000.0,0,51,0.0,0.7,True,"OK (yasla aciklanan, corr=-0.68)",N/A (tek/az veri),"HETEROJEN (['Sedan', 'Coupe', 'Station wagon', 'Belirtilmemiş'])",0,NO_NEED,train_n=51; zaten yeterli (n>20); probe hata %0.7; premium segment
Porsche,911,62,69,62,brand_model,22,1998-2025,"0-240,000",2600000.0,10200000.0,34000000.0,30,39,48.4,1.9,True,"OK (yasla aciklanan, corr=-0.93)",OK (cv=0.14),"HETEROJEN (['Coupe', 'Cabrio', 'Roadster', 'Belirtilmemiş'])",0,NO_NEED,train_n=62; zaten yeterli (n>20); probe hata %1.9; premium segment
