id,category,brand,rawModel,year,canonicalModel,variant,trim,resolvedGeneration,facelift,generationSource,queries,usedQuery,candidateCount,rejectedCount,selectedUrl,selectedTitle,score,confidence,error
bmw-3-e46,BMW-edge,BMW,"3 Serisi",2001,"3 Series","","320i",E46,,local,5,"",0,0,"","",,0.000,""
bmw-3-f30,BMW-edge,BMW,"3 Serisi",2012,"3 Series","","320d",F30,,local,5,"",0,0,"","",,0.000,""
bmw-3-g20,BMW-edge,BMW,"3 Serisi",2023,"3 Series","320i","Executive M Sport",G20,LCI,local,6,"",0,0,"","",,0.000,""
bmw-5-e39,BMW-edge,BMW,"5 Serisi",1999,"5 Series","","523i",E39,,local,5,"",0,0,"","",,0.000,""
bmw-5-g30,BMW-edge,BMW,"5 Serisi",2018,"5 Series","","520d",G30,,local,5,"",0,0,"","",,0.000,""
bmw-1-f20,BMW-edge,BMW,"1 Serisi",2015,"1 Series","","116i",,,unknown,5,"",0,0,"","",,0.000,""
mb-c-w202,Mercedes-edge,Mercedes-Benz,"C",1998,"C","","C 180",W202,,local,5,"",0,0,"","",,0.000,""
mb-c-w204,Mercedes-edge,Mercedes-Benz,"C",2010,"C","","C 200",W204,,local,5,"",0,0,"","",,0.000,""
mb-c-w206,Mercedes-edge,Mercedes-Benz,"C",2022,"C","","C 220d",W206,,local,5,"",0,0,"","",,0.000,""
mb-e-w211,Mercedes-edge,Mercedes-Benz,"E",2005,"E","","E 220",W211,,local,5,"",0,0,"","",,0.000,""
mb-e-w213,Mercedes-edge,Mercedes-Benz,"E",2020,"E","","E 200",W213,,local,5,"",0,0,"","",,0.000,""
mb-a-w177,Mercedes-edge,Mercedes-Benz,"A",2019,"A","","A 200",,,unknown,5,"",0,0,"","",,0.000,""
mb-cla,Mercedes-edge,Mercedes-Benz,"CLA",2015,"CLA","","CLA 200",,,unknown,5,"",0,0,"","",,0.000,""
audi-a3-8p,Audi-edge,Audi,"A3",2005,"A3","","1.6",,,unknown,5,"",0,0,"","",,0.000,""
audi-a3-8v,Audi-edge,Audi,"A3",2018,"A3","","1.6 TDI",,,unknown,5,"",0,0,"","",,0.000,""
audi-a4-b8,Audi-edge,Audi,"A4",2010,"A4","","2.0 TDI",,,unknown,5,"",0,0,"","",,0.000,""
audi-a4-b9,Audi-edge,Audi,"A4",2020,"A4","","2.0 TDI",,,unknown,5,"",0,0,"","",,0.000,""
audi-a6-c6,Audi-edge,Audi,"A6",2005,"A6","","2.4",,,unknown,5,"",0,0,"","",,0.000,""
vw-golf-mk5,VW-golf,Volkswagen,"Golf",2005,"Golf","","1.6",,,unknown,5,"",0,0,"","",,0.000,""
vw-golf-mk6,VW-golf,Volkswagen,"Golf",2010,"Golf","","1.6 TDI",,,unknown,5,"",0,0,"","",,0.000,""
vw-golf-mk7,VW-golf,Volkswagen,"Golf",2015,"Golf","","1.6 TDI Comfortline",,,unknown,5,"",0,0,"","",,0.000,""
vw-golf-mk8,VW-golf,Volkswagen,"Golf",2021,"Golf","","1.5 TSI Life",,,unknown,5,"",0,0,"","",,0.000,""
vw-passat-b5,VW-other,Volkswagen,"Passat",2000,"Passat","","1.8",,,unknown,5,"",0,0,"","",,0.000,""
vw-passat-b8,VW-other,Volkswagen,"Passat",2018,"Passat","","1.6 TDI",,,unknown,5,"",0,0,"","",,0.000,""
vw-polo,VW-other,Volkswagen,"Polo",2012,"Polo","","1.6 TDI",,,unknown,5,"",0,0,"","",,0.000,""
vw-tiguan,VW-other,Volkswagen,"Tiguan",2020,"Tiguan","","1.5 TSI",,,unknown,5,"",0,0,"","",,0.000,""
toyota-corolla-old,Toyota,Toyota,"Corolla",2008,"Corolla","","1.4 D-4D",,,unknown,5,"",0,0,"","",,0.000,""
toyota-corolla-new,Toyota,Toyota,"Corolla",2020,"Corolla","","1.6",,,unknown,5,"",0,0,"","",,0.000,""
toyota-yaris,Toyota,Toyota,"Yaris",2015,"Yaris","","1.4 D-4D",,,unknown,5,"",0,0,"","",,0.000,""
toyota-chr,Toyota,Toyota,"C-HR",2019,"C-HR","","1.2",,,unknown,5,"",0,0,"","",,0.000,""
renault-clio-3,Renault-clio,Renault,"Clio",2010,"Clio","","1.5 dCi",,,unknown,5,"",0,0,"","",,0.000,""
renault-clio-4,Renault-clio,Renault,"Clio",2016,"Clio","","1.5 dCi Touch",,,unknown,5,"",0,0,"","",,0.000,""
renault-clio-5,Renault-clio,Renault,"Clio",2021,"Clio","","1.0 TCe",,,unknown,5,"",0,0,"","",,0.000,""
renault-megane-2,Renault-megane,Renault,"Megane",2005,"Megane","","1.5 dCi",,,unknown,5,"",0,0,"","",,0.000,""
renault-megane-3,Renault-megane,Renault,"Megane",2012,"Megane","","1.5 dCi",,,unknown,5,"",0,0,"","",,0.000,""
renault-megane-4,Renault-megane,Renault,"Megane",2019,"Megane","","1.3 TCe",,,unknown,5,"",0,0,"","",,0.000,""
renault-talisman,Renault-other,Renault,"Talisman",2018,"Talisman","","1.5 dCi",,,unknown,5,"",0,0,"","",,0.000,""
renault-captur,Renault-other,Renault,"Captur",2020,"Captur","","1.5 dCi",,,unknown,5,"",0,0,"","",,0.000,""
peugeot-208-mk1,Peugeot-208,Peugeot,"208",2014,"208","","1.4 HDi",,,unknown,5,"",0,0,"","",,0.000,""
peugeot-208-mk2,Peugeot-208,Peugeot,"208",2021,"208","","1.2 PureTech",,,unknown,5,"",0,0,"","",,0.000,""
peugeot-308-mk1,Peugeot-308,Peugeot,"308",2010,"308","","1.6 HDi",,,unknown,5,"",0,0,"","",,0.000,""
peugeot-308-mk2,Peugeot-308,Peugeot,"308",2015,"308","","1.6 BlueHDi",,,unknown,5,"",0,0,"","",,0.000,""
peugeot-3008,Peugeot-other,Peugeot,"3008",2018,"3008","","1.6 BlueHDi",,,unknown,5,"",0,0,"","",,0.000,""
peugeot-508,Peugeot-other,Peugeot,"508",2019,"508","","1.5 BlueHDi",,,unknown,5,"",0,0,"","",,0.000,""
citroen-c3,Citroen,Citroen,"C3",2015,"C3","","1.4 HDi",,,unknown,5,"",0,0,"","",,0.000,""
citroen-c4,Citroen,Citroen,"C4",2012,"C4","","1.6 HDi",,,unknown,5,"",0,0,"","",,0.000,""
citroen-berlingo,Citroen,Citroen,"Berlingo",2018,"Berlingo","","1.6 BlueHDi",,,unknown,5,"",0,0,"","",,0.000,""
ford-focus-mk2,Ford,Ford,"Focus",2005,"Focus","","1.6 TDCi",,,unknown,5,"",0,0,"","",,0.000,""
ford-focus-mk4,Ford,Ford,"Focus",2018,"Focus","","1.5 TDCi",,,unknown,5,"",0,0,"","",,0.000,""
ford-fiesta,Ford,Ford,"Fiesta",2015,"Fiesta","","1.5 TDCi",,,unknown,5,"",0,0,"","",,0.000,""
fiat-egea,Fiat,Fiat,"Egea",2018,"Egea","","1.6 Multijet",,,unknown,5,"",0,0,"","",,0.000,""
fiat-linea,Fiat,Fiat,"Linea",2012,"Linea","","1.3 Multijet",,,unknown,5,"",0,0,"","",,0.000,""
fiat-doblo,Fiat,Fiat,"Doblo",2016,"Doblo","","1.6 Multijet",,,unknown,5,"",0,0,"","",,0.000,""
honda-civic-old,Honda,Honda,"Civic",2010,"Civic","","1.6",,,unknown,5,"",0,0,"","",,0.000,""
honda-civic-new,Honda,Honda,"Civic",2020,"Civic","","1.5 VTEC",,,unknown,5,"",0,0,"","",,0.000,""
hyundai-i20,Hyundai,Hyundai,"i20",2017,"i20","","1.4",,,unknown,5,"",0,0,"","",,0.000,""
hyundai-tucson,Hyundai,Hyundai,"Tucson",2020,"Tucson","","1.6 CRDi",,,unknown,5,"",0,0,"","",,0.000,""
kia-sportage,Kia,Kia,"Sportage",2019,"Sportage","","1.6 CRDi",,,unknown,5,"",0,0,"","",,0.000,""
kia-rio,Kia,Kia,"Rio",2015,"Rio","","1.4",,,unknown,5,"",0,0,"","",,0.000,""
skoda-octavia,Skoda,Skoda,"Octavia",2015,"Octavia","","1.6 TDI",,,unknown,5,"",0,0,"","",,0.000,""
seat-leon,Seat,Seat,"Leon",2014,"Leon","","1.6 TDI",,,unknown,5,"",0,0,"","",,0.000,""
volvo-s60,Volvo,Volvo,"S60",2016,"S60","","D3",,,unknown,5,"",0,0,"","",,0.000,""
opel-astra,Opel,Opel,"Astra",2012,"Astra","","1.6 CDTI",,,unknown,5,"",0,0,"","",,0.000,""
opel-corsa,Opel,Opel,"Corsa",2018,"Corsa","","1.4",,,unknown,5,"",0,0,"","",,0.000,""
