id,category,brand,rawModel,year,canonicalModel,variant,trim,resolvedGeneration,facelift,generationSource,queries,usedQuery,candidateCount,rejectedCount,selectedUrl,selectedTitle,score,confidence,error
bmw-3-e46,BMW-edge,BMW,"3 Serisi",2001,"3 Series","","320i",E46,,local,5,"BMW 3 Series E46",10,2,"https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/BMW_3_SERIES_%28E46%29_China.jpg/960px-BMW_3_SERIES_%28E46%29_China.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","BMW 3 SERIES (E46) China",95,0.743,""
bmw-3-f30,BMW-edge,BMW,"3 Serisi",2012,"3 Series","","320d",F30,,local,5,"BMW 3 Series F30",10,0,"https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/BMW_3_SERIES_SEDAN_%28F30%29_China.jpg/960px-BMW_3_SERIES_SEDAN_%28F30%29_China.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","BMW 3 SERIES SEDAN (F30) China",125,0.978,""
bmw-3-g20,BMW-edge,BMW,"3 Serisi",2023,"3 Series","320i","Executive M Sport",G20,LCI,local,6,"",0,0,"","",,0.000,""
bmw-5-e39,BMW-edge,BMW,"5 Serisi",1999,"5 Series","","523i",E39,,local,5,"",0,0,"","",,0.000,""
bmw-5-g30,BMW-edge,BMW,"5 Serisi",2018,"5 Series","","520d",G30,,local,5,"",0,0,"","",,0.000,""
bmw-1-f20,BMW-edge,BMW,"1 Serisi",2015,"1 Series","","116i",,,unknown,5,"",0,0,"","",,0.000,""
mb-c-w202,Mercedes-edge,Mercedes-Benz,"C",1998,"C","","C 180",W202,,local,5,"",0,0,"","",,0.000,""
mb-c-w204,Mercedes-edge,Mercedes-Benz,"C",2010,"C","","C 200",W204,,local,5,"",0,0,"","",,0.000,""
mb-c-w206,Mercedes-edge,Mercedes-Benz,"C",2022,"C","","C 220d",W206,,local,5,"",0,0,"","",,0.000,""
mb-e-w211,Mercedes-edge,Mercedes-Benz,"E",2005,"E","","E 220",W211,,local,5,"",0,0,"","",,0.000,""
mb-e-w213,Mercedes-edge,Mercedes-Benz,"E",2020,"E","","E 200",W213,,local,5,"2020 Mercedes-Benz E W213 E 200 Sedan",10,0,"https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Mercedes-Benz_E_200_AVANTGARDE_Sports_%28W213%29_front.jpg/960px-Mercedes-Benz_E_200_AVANTGARDE_Sports_%28W213%29_front.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","Mercedes-Benz E 200 AVANTGARDE Sports (W213) front",133,1.000,""
mb-a-w177,Mercedes-edge,Mercedes-Benz,"A",2019,"A","","A 200",W177,,wikipedia,5,"2019 Mercedes-Benz A W177 A 200 Hatchback",10,0,"https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/2019_Mercedes_Benz_A-Class_Hatchback_A_200_%286%29.jpg/960px-2019_Mercedes_Benz_A-Class_Hatchback_A_200_%286%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","2019 Mercedes Benz A-Class Hatchback A 200 (6)",133,1.000,""
mb-cla,Mercedes-edge,Mercedes-Benz,"CLA",2015,"CLA","","CLA 200",C117,,wikipedia,5,"2015 Mercedes-Benz CLA C117 CLA 200 Coupe",4,0,"https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Mercedes-Benz_CLA-Klasse_Coup%C3%A9_%28C117%29_CLA_200_%282015%29_%2853327037365%29.jpg/960px-Mercedes-Benz_CLA-Klasse_Coup%C3%A9_%28C117%29_CLA_200_%282015%29_%2853327037365%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","Mercedes-Benz CLA-Klasse Coupé (C117) CLA 200 (2015) (53327037365)",123,0.962,""
audi-a3-8p,Audi-edge,Audi,"A3",2005,"A3","","1.6",<i>Typ<,,wikipedia,5,"",0,0,"","",,0.000,""
audi-a3-8v,Audi-edge,Audi,"A3",2018,"A3","","1.6 TDI",<i>Typ<,,wikipedia,5,"",0,0,"","",,0.000,""
audi-a4-b8,Audi-edge,Audi,"A4",2010,"A4","","2.0 TDI",,,unknown,5,"",0,0,"","",,0.000,""
audi-a4-b9,Audi-edge,Audi,"A4",2020,"A4","","2.0 TDI",,,unknown,5,"",0,0,"","",,0.000,""
audi-a6-c6,Audi-edge,Audi,"A6",2005,"A6","","2.4",,,unknown,5,"",0,0,"","",,0.000,""
vw-golf-mk5,VW-golf,Volkswagen,"Golf",2005,"Golf","","1.6",,,unknown,5,"",0,0,"","",,0.000,""
vw-golf-mk6,VW-golf,Volkswagen,"Golf",2010,"Golf","","1.6 TDI",,,unknown,5,"",0,0,"","",,0.000,""
vw-golf-mk7,VW-golf,Volkswagen,"Golf",2015,"Golf","","1.6 TDI Comfortline",,,unknown,5,"",1,0,"https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/2020_Volkswagen_Golf_Style_1.5_Front.jpg/960px-2020_Volkswagen_Golf_Style_1.5_Front.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail","Volkswagen Golf",55,0.374,""
vw-golf-mk8,VW-golf,Volkswagen,"Golf",2021,"Golf","","1.5 TSI Life",,,unknown,5,"2021 Volkswagen Golf 1.5 TSI Life",2,0,"https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/VW_Golf_VIII_Life_1.5_TSI.jpg/960px-VW_Golf_VIII_Life_1.5_TSI.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","VW Golf VIII Life 1.5 TSI",63,0.429,""
vw-passat-b5,VW-other,Volkswagen,"Passat",2000,"Passat","","1.8",<i>Typ<,,wikipedia,5,"Volkswagen Passat <i>Typ<",10,7,"","",,0.000,""
vw-passat-b8,VW-other,Volkswagen,"Passat",2018,"Passat","","1.6 TDI",<i>Typ<,,wikipedia,5,"Volkswagen Passat <i>Typ<",10,7,"","",,0.000,""
vw-polo,VW-other,Volkswagen,"Polo",2012,"Polo","","1.6 TDI",,,unknown,5,"",0,0,"","",,0.000,""
vw-tiguan,VW-other,Volkswagen,"Tiguan",2020,"Tiguan","","1.5 TSI",,,unknown,5,"",0,0,"","",,0.000,""
toyota-corolla-old,Toyota,Toyota,"Corolla",2008,"Corolla","","1.4 D-4D",,,unknown,5,"",0,0,"","",,0.000,""
toyota-corolla-new,Toyota,Toyota,"Corolla",2020,"Corolla","","1.6",,,unknown,5,"",0,0,"","",,0.000,""
toyota-yaris,Toyota,Toyota,"Yaris",2015,"Yaris","","1.4 D-4D",,,unknown,5,"",0,0,"","",,0.000,""
toyota-chr,Toyota,Toyota,"C-HR",2019,"C-HR","","1.2",,,unknown,5,"",0,0,"","",,0.000,""
renault-clio-3,Renault-clio,Renault,"Clio",2010,"Clio","","1.5 dCi",X85,,wikipedia,5,"Renault Clio X85",10,7,"https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/2008_Renault_Sport_Clio_%28X85%29_197_3-door_hatchback_%282015-07-09%29_01.jpg/960px-2008_Renault_Sport_Clio_%28X85%29_197_3-door_hatchback_%282015-07-09%29_01.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","2008 Renault Sport Clio (X85) 197 3-door hatchback (2015-07-09) 01",115,0.900,""
